GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Core: Administration Console,org.entando.entando.apsadmin.portal.guifragment,GuiFragmentFinderAction,245,0,12,0,62,0,25,0,19,0
Entando Core: Administration Console,org.entando.entando.apsadmin.portal.guifragment,GuiFragmentSettingAction,11,0,0,0,3,0,3,0,3,0
Entando Core: Administration Console,org.entando.entando.apsadmin.portal.guifragment,GuiFragmentAction,545,0,46,0,168,0,62,0,39,0
Entando Core: Administration Console,com.agiletec.apsadmin.system.entity.type,EntityTypeNamespaceInfoBean,17,0,0,0,7,0,5,0,5,0
Entando Core: Administration Console,com.agiletec.apsadmin.system.entity.type,EntityTypeConfigAction,534,0,36,0,145,0,47,0,29,0
Entando Core: Administration Console,com.agiletec.apsadmin.system.entity.type,AbstractBaseEntityAttributeConfigAction,988,0,86,0,278,0,136,0,93,0
Entando Core: Administration Console,com.agiletec.apsadmin.system.entity.type,ListElementAttributeConfigAction,54,0,0,0,15,0,6,0,6,0
Entando Core: Administration Console,com.agiletec.apsadmin.system.entity.type,EntityTypesAction,247,0,14,0,72,0,21,0,14,0
Entando Core: Administration Console,com.agiletec.apsadmin.system.entity.type,AbstractEntityConfigAction,58,0,0,0,17,0,10,0,10,0
Entando Core: Administration Console,com.agiletec.apsadmin.system.entity.type,EntityAttributeConfigAction,611,0,86,0,162,0,61,0,18,0
Entando Core: Administration Console,com.agiletec.apsadmin.system.entity.type,CompositeAttributeConfigAction,349,0,26,0,88,0,28,0,15,0
Entando Core: Administration Console,com.agiletec.apsadmin.portal.specialwidget,SimpleWidgetConfigAction,422,0,30,0,97,0,43,0,28,0
Entando Core: Administration Console,org.entando.entando.apsadmin.user,UserAuthorizationAction,397,0,46,0,103,0,50,0,27,0
Entando Core: Administration Console,org.entando.entando.apsadmin.user,UserSettingsAction,7,0,0,0,2,0,2,0,2,0
Entando Core: Administration Console,org.entando.entando.apsadmin.user,UserProfileAction,405,0,36,0,112,0,39,0,21,0
