GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Controller for Entando App Plugin Links,org.entando.kubernetes.controller.link,AppToPluginLinkable,0,90,0,0,0,17,0,9,0,9
Entando K8S Controller for Entando App Plugin Links,org.entando.kubernetes.controller.link,EntandoAppPluginLinkController,62,137,0,0,7,30,4,2,4,2
Entando K8S Controller for Entando App Plugin Links,org.entando.kubernetes.controller.link.support,LinkCommand,24,279,2,4,4,48,3,13,1,12
Entando K8S Controller for Entando App Plugin Links,org.entando.kubernetes.controller.link.support,AccessStrategy,0,24,0,0,0,2,0,1,0,1
Entando K8S Controller for Entando App Plugin Links,org.entando.kubernetes.controller.link.support,LinkPermission,0,11,0,0,0,4,0,2,0,2
Entando K8S Controller for Entando App Plugin Links,org.entando.kubernetes.controller.link.support,LinkSupportProducer,20,0,0,0,5,0,2,0,2,0
Entando K8S Controller for Entando App Plugin Links,org.entando.kubernetes.controller.link.support,QualifiedRoleAssignment,0,21,0,0,0,8,0,4,0,4
Entando K8S Controller for Entando App Plugin Links,org.entando.kubernetes.controller.link.support,InProcessDeploymentLinker,0,19,0,0,0,5,0,2,0,2
Entando K8S Controller for Entando App Plugin Links,org.entando.kubernetes.controller.link.support,LinkInfo,11,132,0,0,2,26,1,16,1,16
Entando K8S Controller for Entando App Plugin Links,org.entando.kubernetes.controller.link.support,LinkInfo.new IngressingPathOnPort() {...},2,22,0,0,1,4,1,4,1,4
