GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,DefaultSimpleEntandoOperations,107,191,2,2,26,31,11,18,10,17
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,DefaultSimpleKubernetesClient,68,413,0,0,14,71,5,20,5,20
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,TrustStoreSecretRegenerator,1,44,1,1,0,10,1,5,0,5
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,EntandoResourceObserver,61,561,11,51,8,117,13,52,3,31
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,CustomResourceStringWatcher,0,59,0,0,0,16,0,7,0,7
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,Liveness,20,45,0,0,3,11,1,7,1,7
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,CrdNameMapSync,0,94,1,1,0,22,1,9,0,9
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,AnnotationNames,0,70,0,0,0,10,0,3,0,3
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,SimpleKubernetesClient,0,4,0,0,0,1,0,1,0,1
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,EntandoOperatorMatcher,0,89,0,10,0,16,0,12,0,7
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,CoordinatorUtils,0,118,0,0,0,18,0,15,0,15
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,OperatorDeploymentType,0,40,0,0,0,7,0,3,0,3
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,EntandoControllerCoordinator,36,474,2,10,5,82,4,34,2,30
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,OperatorProcessingInstruction,0,44,0,0,0,5,0,1,0,1
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,RestartingWatcher,18,17,3,1,3,5,3,2,1,2
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,ControllerCoordinatorProperty,0,114,0,0,0,12,0,1,0,1
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,ControllerImageOverridesWatcher,0,30,0,0,0,9,0,5,0,5
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,ControllerCoordinatorConfig,10,64,0,2,1,16,1,9,1,8
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,ControllerExecutor,0,266,2,6,0,48,2,13,0,11
Entando K8S Controller Coordinator,org.entando.kubernetes.controller.coordinator,ConfigListener,0,21,0,0,0,7,0,4,0,4
