GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCompositeAppSpecFluent.EntandoKeycloakServerNested,0,22,0,0,0,5,0,3,0,3
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCustomResourceReferenceFluent,0,53,0,0,0,12,0,7,0,7
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCustomResourceReferenceSpecBuilder,0,7,0,0,0,4,0,2,0,2
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCompositeAppSpecFluent.EntandoDatabaseServiceNested,0,22,0,0,0,6,0,3,0,3
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCompositeAppSpecFluent.EntandoPluginNested,0,22,0,0,0,6,0,3,0,3
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCompositeAppSpecFluent,6,276,0,0,2,55,0,26,0,26
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCompositeAppFluent,0,54,0,0,0,11,0,6,0,6
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCustomResourceReferenceSpec,3,22,0,0,2,8,1,4,1,4
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCompositeApp,2,23,0,0,1,8,1,4,1,4
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCompositeAppSpec,5,33,1,1,2,10,2,5,1,5
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCustomResourceReferenceSpecFluent,0,51,0,0,0,15,0,7,0,7
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCompositeAppSpecFluent.EntandoAppNested,0,22,0,0,0,6,0,3,0,3
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCompositeAppBuilder,0,21,0,0,0,5,0,3,0,3
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCustomResourceReferenceBuilder,0,26,0,0,0,7,0,4,0,4
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCompositeAppSpecFluent.EntandoAppPluginLinkNested,0,22,0,0,0,6,0,3,0,3
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCustomResourceReference,2,19,0,0,1,6,1,3,1,3
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCompositeAppSpecFluent.EntandoCustomResourceReferenceNested,0,22,0,0,0,6,0,3,0,3
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCustomResourceReferenceFluent.NestedEntandoCustomResourceReferenceSpecFluent,0,22,0,0,0,8,0,4,0,4
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCompositeAppFluent.NestedEntandoCompositeAppFluent,0,22,0,0,0,8,0,4,0,4
Entando Kubernetes Custom Model,org.entando.kubernetes.model.compositeapp,EntandoCompositeAppSpecBuilder,0,7,0,0,0,4,0,2,0,2
Entando Kubernetes Custom Model,org.entando.kubernetes.model.keycloakserver,EntandoKeycloakServerFluent,0,54,0,0,0,11,0,6,0,6
Entando Kubernetes Custom Model,org.entando.kubernetes.model.keycloakserver,EntandoKeycloakServerBuilder,0,21,0,0,0,5,0,3,0,3
Entando Kubernetes Custom Model,org.entando.kubernetes.model.keycloakserver,EntandoKeycloakServer,2,23,0,0,1,8,1,4,1,4
Entando Kubernetes Custom Model,org.entando.kubernetes.model.keycloakserver,EntandoKeycloakServerSpecFluent,0,137,0,0,0,27,0,10,0,10
Entando Kubernetes Custom Model,org.entando.kubernetes.model.keycloakserver,EntandoKeycloakServerSpecBuilder,0,7,0,0,0,4,0,2,0,2
Entando Kubernetes Custom Model,org.entando.kubernetes.model.keycloakserver,NestedEntandoKeycloakServerSpecFluent,0,22,0,0,0,8,0,4,0,4
Entando Kubernetes Custom Model,org.entando.kubernetes.model.keycloakserver,EntandoKeycloakServerSpec,3,61,0,0,2,16,1,8,1,8
Entando Kubernetes Custom Model,org.entando.kubernetes.model.keycloakserver,StandardKeycloakImage,13,31,2,0,3,4,2,2,1,2
Entando Kubernetes Custom Model,org.entando.kubernetes.model.externaldatabase,EntandoDatabaseServiceFluent,0,54,0,0,0,11,0,6,0,6
Entando Kubernetes Custom Model,org.entando.kubernetes.model.externaldatabase,EntandoDatabaseServiceBuilder,0,21,0,0,0,5,0,3,0,3
Entando Kubernetes Custom Model,org.entando.kubernetes.model.externaldatabase,EntandoDatabaseServiceSpecFluent,8,195,1,1,2,36,3,13,2,13
Entando Kubernetes Custom Model,org.entando.kubernetes.model.externaldatabase,EntandoDatabaseService,2,23,0,0,1,8,1,4,1,4
Entando Kubernetes Custom Model,org.entando.kubernetes.model.externaldatabase,NestedEntandoDatabaseServiceFluent,0,22,0,0,0,8,0,4,0,4
Entando Kubernetes Custom Model,org.entando.kubernetes.model.externaldatabase,EntandoDatabaseServiceSpec,3,75,0,2,2,20,1,11,1,10
Entando Kubernetes Custom Model,org.entando.kubernetes.model.externaldatabase,EntandoDatabaseServiceSpecBuilder,0,7,0,0,0,4,0,2,0,2
Entando Kubernetes Custom Model,org.entando.kubernetes.model.app,EntandoAppSpecBuilder,0,7,0,0,0,4,0,2,0,2
Entando Kubernetes Custom Model,org.entando.kubernetes.model.app,NestedEntandoAppSpecFluent,0,22,0,0,0,8,0,4,0,4
Entando Kubernetes Custom Model,org.entando.kubernetes.model.app,EntandoApp,2,23,0,0,1,8,1,4,1,4
Entando Kubernetes Custom Model,org.entando.kubernetes.model.app,EntandoAppFluent,0,54,0,0,0,11,0,6,0,6
Entando Kubernetes Custom Model,org.entando.kubernetes.model.app,EntandoAppSpec,3,40,0,0,2,10,1,5,1,5
Entando Kubernetes Custom Model,org.entando.kubernetes.model.app,EntandoAppSpecFluent,6,103,2,2,0,19,2,7,0,7
Entando Kubernetes Custom Model,org.entando.kubernetes.model.app,EntandoAppBuilder,0,21,0,0,0,5,0,3,0,3
Entando Kubernetes Custom Model,org.entando.kubernetes.model.link,EntandoAppPluginLinkSpecFluent,0,56,0,0,0,15,0,5,0,5
Entando Kubernetes Custom Model,org.entando.kubernetes.model.link,EntandoAppPluginLinkFluent.NestedEntandoAppPluginLinkSpecFluent,0,22,0,0,0,8,0,4,0,4
Entando Kubernetes Custom Model,org.entando.kubernetes.model.link,EntandoAppPluginLinkFluent,0,48,0,0,0,11,0,6,0,6
Entando Kubernetes Custom Model,org.entando.kubernetes.model.link,EntandoAppPluginLinkBuilder,0,21,0,0,0,5,0,3,0,3
Entando Kubernetes Custom Model,org.entando.kubernetes.model.link,EntandoAppPluginLinkSpecBuilder,0,7,0,0,0,4,0,2,0,2
Entando Kubernetes Custom Model,org.entando.kubernetes.model.link,EntandoAppPluginLinkSpec,3,29,0,0,2,10,1,5,1,5
Entando Kubernetes Custom Model,org.entando.kubernetes.model.link,EntandoAppPluginLink,2,23,0,0,1,8,1,4,1,4
Entando Kubernetes Custom Model,org.entando.kubernetes.model.plugin,EntandoPluginSpecFluent,12,220,0,0,3,42,1,14,1,14
Entando Kubernetes Custom Model,org.entando.kubernetes.model.plugin,EntandoPlugin,2,23,0,0,1,8,1,4,1,4
Entando Kubernetes Custom Model,org.entando.kubernetes.model.plugin,EntandoPluginBuilder,0,21,0,0,0,5,0,3,0,3
Entando Kubernetes Custom Model,org.entando.kubernetes.model.plugin,PluginSecurityLevel,3,42,0,0,2,5,0,4,0,4
Entando Kubernetes Custom Model,org.entando.kubernetes.model.plugin,EntandoPluginSpecBuilder,0,7,0,0,0,4,0,2,0,2
Entando Kubernetes Custom Model,org.entando.kubernetes.model.plugin,Permission,8,18,0,0,4,8,2,4,2,4
