"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 21 15:42:06 UTC 2021","Mon Jun 21 15:42:07 UTC 2021","41","","org.entando.kubernetes.controller.support.creators.DeploymentCreatorTest","","org.entando.kubernetes.controller.support.creators.DeploymentCreatorTest","shouldCreateDeploymentWithStartupProbeOnK8S16","shouldCreateDeploymentWithStartupProbeOnK8S16()",""
"broken","Mon Jun 21 15:46:31 UTC 2021","Mon Jun 21 15:50:31 UTC 2021","240259","","org.entando.kubernetes.controller.spi.client.impl.DefaultKubernetesClientForControllersTest","","org.entando.kubernetes.controller.spi.client.impl.DefaultKubernetesClientForControllersTest","shouldRetrieveCustomResourcesGenerically","shouldRetrieveCustomResourcesGenerically()","Should retrieve custom resource generically without the need of an implementation class"
"passed","Mon Jun 21 15:54:53 UTC 2021","Mon Jun 21 15:54:53 UTC 2021","321","","org.entando.kubernetes.controller.AdvancedCapabilityProvisionTest","","org.entando.kubernetes.controller.AdvancedCapabilityProvisionTest","shouldProvideSpecifiedCapability","shouldProvideSpecifiedCapability()","Should provide a capability with the specified name and namespace when the CapabilityRequirement specifies a scope of 'SPECIFIED'"
"passed","Mon Jun 21 14:48:26 UTC 2021","Mon Jun 21 14:48:29 UTC 2021","2548","","org.entando.kubernetes.controller.ExampleExternalCapabilityTest","","org.entando.kubernetes.controller.ExampleExternalCapabilityTest","shouldLinkToExternalDatabaseServiceUsingItsIpAddress","shouldLinkToExternalDatabaseServiceUsingItsIpAddress()","Should link to external database service using its ip address"
"passed","Mon Jun 21 15:21:10 UTC 2021","Mon Jun 21 15:21:16 UTC 2021","6348","","org.entando.kubernetes.controller.support.client.impl.DefaultCapabilityClientTest","","org.entando.kubernetes.controller.support.client.impl.DefaultCapabilityClientTest","shouldResolveByNameAndNamespace","shouldResolveByNameAndNamespace()","Should resolve a providedCapability by name and namespace"
"passed","Mon Jun 21 15:42:07 UTC 2021","Mon Jun 21 15:42:07 UTC 2021","2","","org.entando.kubernetes.controller.support.creators.ConfigurableStorageCalculatorTest","","org.entando.kubernetes.controller.support.creators.ConfigurableStorageCalculatorTest","calculateRequestsWithDefaultRatioButWithRequestAndLimitOverrides","calculateRequestsWithDefaultRatioButWithRequestAndLimitOverrides()",""
"passed","Mon Jun 21 15:42:07 UTC 2021","Mon Jun 21 15:42:07 UTC 2021","8","","org.entando.kubernetes.controller.support.common.EntandoImageResolverTest","","org.entando.kubernetes.controller.support.common.EntandoImageResolverTest","testResolutionFromAnnotations","testResolutionFromAnnotations()",""
"passed","Mon Jun 21 15:54:52 UTC 2021","Mon Jun 21 15:54:52 UTC 2021","343","","org.entando.kubernetes.controller.AdvancedCapabilityProvisionTest","","org.entando.kubernetes.controller.AdvancedCapabilityProvisionTest","shouldProvideLabeledCapability","shouldProvideLabeledCapability()","Should provide a capability resolved at Cluster level using a Label Selector"
"passed","Mon Jun 21 15:54:51 UTC 2021","Mon Jun 21 15:54:51 UTC 2021","305","","org.entando.kubernetes.controller.AdvancedCapabilityProvisionTest","","org.entando.kubernetes.controller.AdvancedCapabilityProvisionTest","shouldFailWhenThereIsAnImplementationMismatch","shouldFailWhenThereIsAnImplementationMismatch()","Should fail when a matching ProvidedCapability is found but there is an implementation mismatch"
"passed","Mon Jun 21 15:42:07 UTC 2021","Mon Jun 21 15:42:07 UTC 2021","3","","org.entando.kubernetes.controller.support.common.EntandoOperatorConfigTest","","org.entando.kubernetes.controller.support.common.EntandoOperatorConfigTest","testSecurityMode","testSecurityMode()",""
