GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.client.impl,DefaultServiceClient,111,0,4,0,16,0,8,0,6,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.client.impl,SupportProducer,63,0,4,0,12,0,9,0,7,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.client.impl,DefaultDeploymentClient,158,0,10,0,28,0,13,0,8,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.client.impl,DefaultIngressClient,173,0,2,0,31,0,12,0,11,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.client.impl,KubernetesRestInterceptor,237,0,14,0,40,0,17,0,10,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.client.impl,DefaultSecretClient,184,0,0,0,36,0,9,0,9,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.client.impl,PatchableClient,15,0,0,0,3,0,1,0,1,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.client.impl,DefaultPodClient,231,0,14,0,28,0,23,0,16,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.client.impl,EntandoJackson2Provider,7,0,0,0,3,0,1,0,1,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.client.impl,KubernetesExceptionProcessor,145,0,10,0,17,0,9,0,4,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.client.impl,DefaultPersistentVolumeClaimClient,52,0,2,0,11,0,4,0,3,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.client.impl,DefaultSimpleK8SClient,161,0,18,0,33,0,20,0,11,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.client.impl,DefaultServiceAccountClient,154,0,4,0,26,0,10,0,8,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.client.impl,DefaultEntandoResourceClient,365,0,10,0,60,0,20,0,15,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.client.impl,DefaultKeycloakClient,732,0,38,0,183,0,47,0,28,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.command,InProcessCommandStream,49,67,3,3,8,16,4,3,1,3
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.command,CreateExternalServiceCommand,269,0,14,0,67,0,15,0,8,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.command,DeployCommand,211,278,14,6,40,51,16,13,6,13
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.command,IngressingDeployCommand,80,0,4,0,16,0,6,0,4,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.common,ResourceUtils,25,31,4,0,3,7,4,1,2,1
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.common,DbmsDockerVendorStrategy,194,0,12,0,39,0,20,0,14,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.common,DbmsVendorConfig.1.new JdbcConnectionStringBuilder() {...},26,0,0,0,2,0,2,0,2,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.common,DbmsVendorConfig.5.new JdbcConnectionStringBuilder() {...},21,0,0,0,2,0,2,0,2,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.common,NameUtils,106,34,8,0,19,6,13,5,9,5
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.common,PodResult,256,10,36,0,41,2,34,2,16,2
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.common,PodResult.State,44,0,0,0,2,0,1,0,1,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.common,JdbcConnectionStringBuilder,83,0,4,0,24,0,17,0,15,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.common,DbmsVendorConfig.4.new JdbcConnectionStringBuilder() {...},21,0,0,0,2,0,2,0,2,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.common,ConfigProperty,0,8,0,0,0,1,0,1,0,1
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.common,DbmsVendorConfig.new DbmsVendorConfig() {...},16,0,0,0,2,0,2,0,2,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.common,DbmsVendorConfig.new DbmsVendorConfig() {...},16,0,0,0,2,0,2,0,2,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.common,DbmsVendorConfig.new DbmsVendorConfig() {...},16,0,0,0,2,0,2,0,2,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.common,DbmsVendorConfig.new DbmsVendorConfig() {...},13,0,0,0,2,0,2,0,2,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.common,DbmsVendorConfig.new DbmsVendorConfig() {...},13,0,0,0,2,0,2,0,2,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.common,EntandoOperatorConfigBase,20,86,2,6,6,18,6,8,4,6
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.common,DbmsVendorConfig,148,0,0,0,30,0,12,0,12,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.common,DbmsVendorConfig.3.new JdbcConnectionStringBuilder() {...},26,0,0,0,2,0,2,0,2,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.common,EntandoOperatorSpiConfig,48,3,2,0,14,1,8,1,7,1
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.common,EntandoControllerException,4,0,0,0,2,0,1,0,1,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.common,SecretUtils,63,0,0,0,12,0,4,0,4,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.common,DbmsDockerVendorStrategy.DockerRegistry,34,0,0,0,6,0,2,0,2,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.common,DbmsVendorConfig.2.new JdbcConnectionStringBuilder() {...},26,0,0,0,2,0,2,0,2,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.common,TrustStoreHelper,221,0,4,0,46,0,9,0,7,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.common,EntandoOperatorSpiConfigProperty,0,104,0,0,0,11,0,1,0,1
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.common,EntandoOperatorComplianceMode,40,0,0,0,6,0,3,0,3,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.deployable,PublicIngressingDeployable,8,0,0,0,3,0,3,0,3,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.deployable,Deployable,0,8,0,0,0,4,0,4,0,4
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.deployable,DbAwareDeployable,30,0,2,0,3,0,3,0,2,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.client,ConfigMapBasedKeycloakConnectionConfig,39,0,2,0,10,0,6,0,5,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.client,DoneableServiceAccount,22,34,2,0,4,8,4,2,3,2
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.client,DuplicateExcepion,5,0,0,0,2,0,1,0,1,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.client,UnauthorizedExcepion,5,0,0,0,2,0,1,0,1,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.client,DoneableConfigMap,56,0,2,0,11,0,6,0,5,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.client,DoneableIngress,43,0,2,0,8,0,5,0,4,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.client,WaitingClient,11,0,0,0,4,0,1,0,1,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.client,EntandoResourceClient,87,0,6,0,21,0,5,0,2,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.client.impl,SupportedStandardResourceKind.new SupportedStandardResourceKind() {...},3,5,0,0,1,1,1,1,1,1
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.client.impl,SupportedStandardResourceKind.new SupportedStandardResourceKind() {...},3,5,0,0,1,1,1,1,1,1
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.client.impl,SupportedStandardResourceKind.new SupportedStandardResourceKind() {...},4,5,0,0,1,1,1,1,1,1
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.client.impl,SupportedStandardResourceKind.new SupportedStandardResourceKind() {...},3,5,0,0,1,1,1,1,1,1
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.client.impl,SupportedStandardResourceKind.new SupportedStandardResourceKind() {...},4,5,0,0,1,1,1,1,1,1
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.client.impl,SupportedStandardResourceKind.new SupportedStandardResourceKind() {...},3,5,0,0,1,1,1,1,1,1
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.client.impl,DefaultKubernetesClientForControllers,733,0,8,0,139,0,35,0,31,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.client.impl,SupportedStandardResourceKind,5,69,0,0,3,8,1,2,1,2
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.capability,DefaultCapabilityClient,232,0,10,0,36,0,16,0,11,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.capability,ProvideCapabilityCommand,417,0,20,0,77,0,29,0,16,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.creators,LimitAndRequestCalculator,17,132,4,6,4,30,4,7,0,6
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.creators,ConfigurableStorageCalculator,30,0,0,0,5,0,3,0,3,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.creators,IngressPathCreator,135,0,2,0,27,0,9,0,8,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.creators,ServiceCreator,219,7,0,0,47,3,8,2,8,2
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.creators,SecretCreator,159,25,6,2,36,8,11,2,7,2
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.creators,AbstractK8SResourceCreator,43,99,2,4,9,22,4,6,2,5
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.creators,EntandoRbacRole,0,48,0,0,0,6,0,3,0,3
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.creators,IngressCreator,419,0,26,0,76,0,29,0,16,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.creators,DatabasePreparationPodCreator,443,4,6,0,79,2,19,1,16,1
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.creators,ResourceCalculator,0,26,0,0,0,7,0,5,0,5
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.creators,StorageCalculator,16,0,0,0,5,0,3,0,3,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.creators,DeploymentCreator,330,545,31,21,56,124,32,23,8,21
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.creators,ConfigurableResourceCalculator,45,0,0,0,7,0,5,0,5,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.creators,PersistentVolumeClaimCreator,143,14,4,0,27,4,8,2,6,2
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.creators,KeycloakClientCreator,181,21,10,2,43,5,10,2,4,2
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.creators,ServiceAccountCreator,38,184,1,1,5,53,4,8,3,8
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.client,SerializedEntandoResource,35,33,2,0,12,7,8,6,7,6
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.client,EntandoExecListener,101,0,2,0,31,0,11,0,10,0
Entando K8S Operator Common Library,org.entando.kubernetes.controller.spi.client,KubernetesClientForControllers,158,45,8,0,30,7,7,4,3,4
Entando K8S Operator Common Library,org.entando.kubernetes.controller.support.spibase,IngressingDeployableBase,25,0,0,0,7,0,4,0,4,0
