GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Kubernetes Service,org.entando.kubernetes.model.namespace,ObservedNamespaces,0,93,3,9,0,19,3,10,0,7
Entando Kubernetes Service,org.entando.kubernetes,EntandoKubernetesJavaApplication,5,3,0,0,2,1,1,1,1,1
Entando Kubernetes Service,org.entando.kubernetes.service.assembler,EntandoDeBundleResourceAssembler,0,80,0,0,0,11,0,3,0,3
Entando Kubernetes Service,org.entando.kubernetes.service.assembler,KubernetesNamespaceResourceAssembler,0,79,0,0,0,9,0,2,0,2
Entando Kubernetes Service,org.entando.kubernetes.service.assembler,EntandoPluginResourceAssembler,0,93,0,0,0,12,0,3,0,3
Entando Kubernetes Service,org.entando.kubernetes.service.assembler,EntandoAppResourceAssembler,0,106,0,0,0,13,0,3,0,3
Entando Kubernetes Service,org.entando.kubernetes.service.assembler,EntandoAppPluginLinkResourceAssembler,0,102,0,0,0,13,0,3,0,3
Entando Kubernetes Service,org.entando.kubernetes.security.oauth2,JwtAuthorityExtractor,10,3,0,0,2,1,2,1,2,1
Entando Kubernetes Service,org.entando.kubernetes.service,EntandoAppService,0,31,0,0,0,6,0,5,0,5
Entando Kubernetes Service,org.entando.kubernetes.service,EntandoLinkService,42,221,0,0,7,36,5,10,5,10
Entando Kubernetes Service,org.entando.kubernetes.service,KubernetesUtils,11,85,0,2,2,21,1,8,1,7
Entando Kubernetes Service,org.entando.kubernetes.service,KubernetesClientCache.new TimerTask() {...},0,10,0,0,0,3,0,2,0,2
Entando Kubernetes Service,org.entando.kubernetes.service,OperatorDeploymentType,0,24,0,0,0,3,0,1,0,1
Entando Kubernetes Service,org.entando.kubernetes.service,EntandoKubernetesResourceCollector,0,68,0,2,0,12,0,10,0,9
Entando Kubernetes Service,org.entando.kubernetes.service,KubernetesClientCache,19,66,0,0,3,16,2,5,2,5
Entando Kubernetes Service,org.entando.kubernetes.service,IngressService,0,60,0,0,0,15,0,5,0,5
Entando Kubernetes Service,org.entando.kubernetes.service,EntandoPluginService,15,211,1,7,2,42,2,13,1,10
Entando Kubernetes Service,org.entando.kubernetes.service,DefaultKubernetesClientBuilder,24,0,2,0,7,0,3,0,2,0
Entando Kubernetes Service,org.entando.kubernetes.service,EntandoDeBundleService,8,64,0,0,1,11,1,8,1,8
Entando Kubernetes Service,org.entando.kubernetes.service,OperatorDeploymentType.new OperatorDeploymentType() {...},0,18,0,4,0,2,0,4,0,2
Entando Kubernetes Service,org.entando.kubernetes.service,OperatorDeploymentType.new OperatorDeploymentType() {...},0,20,1,5,0,2,1,4,0,2
Entando Kubernetes Service,org.entando.kubernetes.controller,EntandoPluginController,3,237,0,2,1,46,1,16,1,15
Entando Kubernetes Service,org.entando.kubernetes.controller,EntandoLinksController,12,268,4,6,0,44,6,16,2,15
Entando Kubernetes Service,org.entando.kubernetes.controller,ExceptionController,0,10,0,0,0,2,0,2,0,2
Entando Kubernetes Service,org.entando.kubernetes.controller,EntandoAppController,11,200,1,1,2,40,1,14,0,14
Entando Kubernetes Service,org.entando.kubernetes.controller,ApiEntryPointController,0,73,0,0,0,8,0,2,0,2
Entando Kubernetes Service,org.entando.kubernetes.controller,ObservedNamespaceController,0,122,0,2,0,17,0,6,0,5
Entando Kubernetes Service,org.entando.kubernetes.controller,EntandoDeBundleController,3,112,0,0,0,23,1,7,1,7
Entando Kubernetes Service,org.entando.kubernetes.config,KubernetesConfiguration,13,16,0,0,2,4,1,2,1,2
Entando Kubernetes Service,org.entando.kubernetes.config,OpenApiConfig,0,58,0,0,0,15,0,2,0,2
Entando Kubernetes Service,org.entando.kubernetes.config,CorsConfiguration,33,0,0,0,8,0,2,0,2,0
Entando Kubernetes Service,org.entando.kubernetes.config,SecurityConfiguration,0,115,0,0,0,38,0,2,0,2
Entando Kubernetes Service,org.entando.kubernetes.exception,NotFoundExceptionFactory,52,49,0,0,9,9,5,3,5,3
Entando Kubernetes Service,org.entando.kubernetes.exception,BadRequestExceptionFactory,45,35,0,0,8,7,3,3,3,3
Entando Kubernetes Service,org.entando.kubernetes.exception,NotObservedNamespaceException,0,9,0,0,0,4,0,2,0,2
