GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.aps.system.services.content.model,ContentThreadConfig,215,0,0,0,87,0,49,0,49,0
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.aps.system.services.content.model,ContentState,59,0,0,0,23,0,12,0,12,0
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.aps.system.services.content.model,ContentTypeElem,76,0,0,0,32,0,16,0,16,0
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.aps.system.services.content.model,ContentSuspendMove,90,0,0,0,38,0,20,0,20,0
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.aps.system.services,ContentThreadConstants,3,0,0,0,1,0,1,0,1,0
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.aps.system.services.content.util,Utils,477,0,48,0,97,0,36,0,12,0
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.aps.system.services.content,ContentJobs,1784,0,210,0,419,0,125,0,20,0
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.aps.system.services.content,ContentSchedulerDAO,91,0,0,0,24,0,4,0,4,0
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.aps.system.services.content,ContentSchedulerManager,800,0,66,0,192,0,62,0,29,0
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.apsadmin.config,ContentThreadConfigGroupsAction,312,0,30,0,97,0,40,0,25,0
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.apsadmin.config,ContentThreadConfigUsersAction,485,0,50,0,140,0,54,0,29,0
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.apsadmin.config,ConfigAction,265,0,0,0,94,0,25,0,25,0
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.apsadmin.config,ContentThreadConfigEmailAction,305,0,0,0,105,0,42,0,42,0
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.apsadmin.config,ContentThreadConfigContentTypesAction,471,0,38,0,145,0,54,0,35,0
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.apsadmin.config,AdminAction,73,0,0,0,24,0,3,0,3,0
Entando Plugin: Content Scheduler,org.entando.entando.plugins.jpcontentscheduler.aps.system.services.content.parse,ContentThreadConfigDOM,1025,0,52,0,242,0,47,0,21,0
