GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.url,URLManager,342,0,40,0,77,0,36,0,16,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.url,PageURL,12,0,0,0,5,0,3,0,3,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.web.page.model,SeoDataByLang,70,156,10,10,28,17,23,6,13,6
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.web.page.model,SeoData,75,37,12,0,15,8,12,4,6,4
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.web.page.model,SeoMetaTag,75,0,0,0,21,0,11,0,11,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.web.page.model,SeoPageRequest,60,0,6,0,16,0,10,0,7,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.web.page,SeoPageController,268,71,28,2,50,15,19,7,5,6
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.metatag,MetatagDOM,98,0,2,0,26,0,5,0,4,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.metatag,MetatagCatalog,53,0,2,0,17,0,6,0,5,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.metatag,Metatag,53,0,0,0,17,0,12,0,12,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.page,SeoPageService,855,4,54,0,201,1,45,1,18,1
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.page,PageMetatag,190,30,20,0,47,13,21,5,11,5
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.page,SeoPageDAO,148,0,8,0,30,0,8,0,4,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.page,SeoPageExtraConfigDOM,781,0,70,0,192,0,47,0,12,0
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.page,SeoPageMetadata,382,24,86,0,86,7,57,2,14,2
Entando Plugin: SEO,org.entando.entando.plugins.jpseo.aps.system.services.page,SeoPageDto,16,6,0,0,3,2,2,2,2,2
