GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.apsadmin.resource,TrashedResourceAction,254,0,14,0,78,0,29,0,22,0
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.content.model,ContentVersionDTO,205,73,26,0,16,31,16,21,3,21
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.services.content,ContentVersioningService,409,250,36,6,80,63,26,11,5,11
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.apsadmin.content,ContentVersionsAction,105,0,2,0,28,0,10,0,9,0
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.resource,ResourceVersioningController,112,0,0,0,20,0,5,0,5,0
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.services.configuration,VersioningConfigurationService,58,71,0,6,18,19,2,6,2,3
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.configuration.model,VersioningConfigurationDTO,80,24,12,0,10,10,9,7,3,7
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.apsadmin.versioning,VersionAction,821,0,50,0,204,0,63,0,38,0
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.apsadmin.versioning,VersionFinderAction,128,0,0,0,40,0,20,0,20,0
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.resource.model,FileResourceDTO,37,0,0,0,11,0,6,0,6,0
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.resource.model,FileResourceDTO.FileResourceDTOBuilder,146,0,0,0,1,0,14,0,14,0
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.resource.model,ImageResourceDTO,23,0,0,0,6,0,3,0,3,0
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.resource.model,ImageVersionDTO,33,0,0,0,14,0,7,0,7,0
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.resource.model,ResourceDownloadDTO,33,0,0,0,14,0,7,0,7,0
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.resource.model,ResourceDTO,309,0,26,0,59,0,37,0,24,0
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.configuration,VersioningConfigurationController,15,22,0,0,3,5,1,2,1,2
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.content,ContentVersioningController,40,140,2,4,5,23,2,7,1,5
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.services.resource,ResourcesVersioningService,616,0,36,0,117,0,35,0,17,0
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.content.validator,ContentVersioningValidator,106,0,16,0,28,0,16,0,8,0
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.web.content.validator,VersioningValidatorErrorCodes,0,45,0,0,0,7,0,2,0,2
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.aps.system.services.versioning,IVersioningManager,16,0,0,0,1,0,1,0,1,0
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.aps.system.services.versioning,VersioningManager,500,4,30,0,135,1,46,1,31,1
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.aps.system.services.versioning,ContentVersion,43,37,0,0,21,13,11,12,11,12
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.aps.system.services.versioning,VersioningDAO,668,0,34,0,182,0,29,0,12,0
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.aps.system.init.portdb,TrashedResource,3,0,0,0,1,0,1,0,1,0
Entando Plugin: Content Versioning,org.entando.entando.plugins.jpversioning.aps.system.init.portdb,VersionedContent,10,0,0,0,3,0,2,0,2,0
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.aps.system.services.resource,TrashedResourceManager,662,0,36,0,171,0,45,0,27,0
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.aps.system.services.resource,TrashedResourceDAO,434,0,36,0,123,0,27,0,9,0
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.apsadmin.config,VersioningConfigAction,7,0,0,0,2,0,2,0,2,0
Entando Plugin: Content Versioning,com.agiletec.plugins.jpversioning.aps.servlet,VersioningProtectedResourceProvider,271,0,28,0,69,0,26,0,12,0
